CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
5.47,0.0,20.91,0.1,0.82,15.42,0.0,0.0,42.62,63.60765625000001,29.6,0.2,2.23,0.01,0.0,85.71,77.08,28.0,10.14,4.0,4.64,0.22,1183305.44,75596.67,1114503.4,1090296.0,96.94,0.0,0.0,42.836416624156044,0.402,31.68,12.88,0.87,1.33,1.44,0.58,0,0,0,870004,430140,0,42,27,3.6,429960.6,26.0,1270.0,15.41,4.29,0.027052065385297967,throughput_performance,redis
5.4,0.0,20.83,0.0,0.82,15.45,0.0,0.0,42.5,63.62328125000002,0.0,1.4,0.0,0.01,0.0,65.0,0.0,9.71,0.0,4.57,0.0,0.0,1183654.3,75620.14,1114755.4,1090634.8,96.96,0.0,0.0,42.92684204651163,0.402,31.74,12.9,0.87,1.33,1.44,0.58,0,0,19,867924,426965,0,42,30,1.2,426790.6,28.0,1270.0,16.1,4.62,0.02851105318135898,throughput_performance,redis
5.52,0.0,21.07,0.04,0.81,15.4,0.0,0.0,42.8,64.05125000000001,0.0,10.2,0.0,2.13,0.0,55.26,0.0,213.57,0.0,30.8,1.28,0.06,1171064.51,74881.72,1110258.0,1080092.4,95.93,0.0,0.0,43.168939306826715,0.40299999999999997,32.32,12.93,0.84,1.31,1.45,0.58,0,0,2178,852161,406039,0,43,21,7.6,405866.6,29.0,1270.0,16.81,4.95,0.02851105318135898,throughput_performance,redis
5.37,0.0,20.9,0.0,0.82,15.62,0.0,0.0,42.71,63.96656250000001,0.0,1.8,0.0,0.05,0.0,86.36,0.0,30.22,0.0,4.67,0.08,0.0,1182491.28,75519.47,1119668.2,1089183.0,96.87,0.0,0.2,42.94218130532633,0.4,31.92,12.97,0.86,1.32,1.45,0.58,0,0,54,858384,419725,0,42,29,1.2,419973.0,25.0,1270.0,17.31,5.25,0.02851105318135898,throughput_performance,redis
5.42,0.0,20.91,0.01,0.81,15.47,0.0,0.0,42.61,63.80328125,7.6,0.4,0.06,0.0,0.0,50.0,7.68,8.0,5.74,0.0,1.04,0.04,1184428.88,75654.71,1119039.6,1091131.4,97.03,0.0,0.0,42.91381350937735,0.402,31.9,12.94,0.86,1.33,1.44,0.58,0,0,1,866555,426046,0,42,25,2.8,425919.6,25.0,1270.0,17.92,5.58,0.02851105318135898,throughput_performance,redis
5.43,0.0,20.8,0.01,0.83,15.32,0.0,0.0,42.38,63.43265625,0.0,10.4,0.0,0.07,0.0,37.35,0.0,6.85,0.0,3.06,0.16,0.02,1184662.19,75685.24,1115437.4,1091573.8,97.05,0.0,0.0,42.93277863465867,0.40299999999999997,31.98,12.96,0.87,1.33,1.43,0.58,0,0,74,873322,429987,0,42,25,1.2,429863.0,28.0,1270.0,18.57,5.92,0.02851105318135898,throughput_performance,redis
5.59,0.0,20.81,0.01,0.82,15.33,0.0,0.0,42.55,63.70109375,0.2,4.6,0.0,0.03,0.0,32.35,4.0,5.91,5.0,3.87,0.32,0.01,1185656.79,75759.5,1113853.0,1092644.4,97.13,0.0,0.0,43.07883345236309,0.402,32.12,13.03,0.87,1.33,1.44,0.58,0,0,27,869608,423353,0,43,29,1.2,423443.8,26.0,1270.0,18.92,6.21,0.02851105318135898,throughput_performance,redis
5.63,0.0,20.9,0.0,0.82,15.41,0.0,0.0,42.76,64.01859375000001,0.0,3.2,0.0,0.02,0.0,50.0,0.0,7.25,0.0,5.31,0.08,0.01,1183992.32,75628.4,1117954.8,1090753.6,96.99,0.0,0.0,43.18662616054013,0.4,32.27,13.11,0.86,1.33,1.45,0.58,0,0,23,864536,420105,0,43,28,1.2,419635.2,25.0,1270.0,19.81,6.6,0.02851105318135898,throughput_performance,redis
5.61,0.0,21.09,0.01,0.8,15.81,0.0,0.0,43.31,64.85125000000002,0.0,3.2,0.0,0.03,0.0,40.74,0.0,8.25,0.0,4.06,0.16,0.0,1178704.68,75274.7,1116829.8,1085652.8,96.56,0.0,0.0,43.32498676669167,0.396,32.39,13.18,0.85,1.33,1.48,0.59,0,0,20,844746,406545,0,44,30,1.2,406690.6,25.0,1270.0,20.39,6.94,0.02851105318135898,throughput_performance,redis
5.47,0.0,21.07,0.0,0.81,15.52,0.0,0.0,42.87,64.18984375,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,8.33,0.0,0.0,1183997.55,75636.37,1116328.6,1090869.0,96.99,0.0,0.2,43.305824984246065,0.39799999999999996,32.37,13.16,0.86,1.33,1.47,0.58,0,0,7,859370,415524,0,42,26,1.2,415172.8,29.0,1270.0,20.92,7.27,0.02851105318135898,throughput_performance,redis
