4.41,0.0,1.01,0.43,0.1,0.09,0.0,0.0,39.2,233.6,2.8,13.87,0.04,0.76,69.57,60.79,13.14,6.23,4.57,32.88,1.34,0.54,0.67,3.2,3.2,0.0,0.0,0.0,0.703292337617801,6130.780000000002,3.767693155288823,0.848,19.62,1.71,0.43,1.42,0.26,0.22,21.52,2.0,0,0,254737632,7072,267956,14283,21,42215,37293,0,5,4,490.8,37832.8,6.0,3204.0,55.14,194.45,267.91,0.047404690723409235,0.0307616389544888,in-memory_computing
0.95,0.0,0.16,0.02,0.1,0.09,0.0,0.0,0.0,0.0,2.4,0.0,0.01,0.0,42.86,0.0,6.0,0.0,9.0,0.08,0.01,0.93,0.65,5.6,5.0,0.0,0.0,0.0,2.715894738351206,679.02,0.4172942115528882,0.815,17.54,1.84,0.35,1.48,0.41,0.34,35.67,0.71,0,0,254458624,7092,267996,0,30,27453,6729,0,1,0,16.0,6109.8,1.0,3205.0,50.72,191.23,266.47,0.15625990645864524,0.034423738830023184,in-memory_computing
0.23,0.0,0.12,0.01,0.08,0.07,0.0,0.0,0.0,3.6,1.6,0.5,0.01,0.0,27.27,142.0,5.0,4.44,5.12,0.56,0.02,10.36,14.51,21.0,23.4,0.0,0.0,0.0,2.794579186063733,490.9,0.3016843810952738,0.614,18.25,2.55,0.34,1.26,0.66,0.4,43.5,0.7,0,0,254243488,7100,270592,511,8,25955,3547,0,0,2,14.0,3546.6,1.0,3210.0,46.66,188.05,265.04,0.15630867671659116,0.03515615880513005,in-memory_computing
0.03,0.0,0.07,0.01,0.1,0.09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.57,0.0,4.0,0.0,12.6,0.0,0.0,0.5,0.3,3.4,3.6,0.0,0.0,0.0,2.875975524666712,115.4,0.07091948987246811,0.451,13.07,1.88,0.08,0.49,1.25,0.56,61.92,0.08,0,0,254240384,7112,270608,0,4,24473,653,0,0,0,15.6,648.2,1.0,3209.0,42.92,184.93,263.62,0.15650375774837472,0.03515615880513005,in-memory_computing
0.03,0.0,0.12,0.01,0.09,0.06,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,10.0,0.0,0.0,0.52,0.26,3.0,2.8,0.0,0.0,0.2,2.8766474032524934,188.78,0.11601543585896472,0.5,13.65,2.18,0.11,0.77,1.05,0.52,56.53,0.12,0,0,254239200,7120,270620,0,3,24473,645,0,0,0,19.8,644.8,1.0,3209.0,39.48,181.86,262.2,0.15650375774837472,0.034423738830023184,in-memory_computing
35.65,0.0,2.19,0.03,0.14,0.07,0.0,0.0,38.05260416666669,2.79,2.99,0.05,0.01,0.0,25.0,20.0,5.07,7.36,8.07,1.6,0.03,11.99,33.85,29.6,29.4,0.0,0.0,0.0,2.877180640225334,13157.22,8.08581742235559,0.155,30.21,5.42,0.11,0.82,5.77,0.89,62.96,3.67,0,0,251883488,7128,270936,56,15,29414,15983,0,37,110,71.6,16206.6,64.0,3517.0,36.32,178.84,260.79,0.15650375774837472,0.034423738830023184,in-memory_computing
38.69,0.0,12.86,0.14,0.21,0.09,0.0,0.0,53.1831868131868,0.2,0.8,0.0,0.03,0.0,80.95,4.0,42.0,15.0,7.5,0.32,0.0,0.02,0.16,0.4,0.8,0.0,0.0,0.0,3.8137184474351518,34667.259999999995,21.304890766691674,0.297,38.73,5.42,0.07,0.63,2.73,0.81,60.88,22.42,0,0,248825696,7140,270944,1,34,28054,8305,0,52,11,20.8,8093.4,14.0,3245.0,34.69,176.14,259.48,0.17113483513214306,0.034423738830023184,in-memory_computing
6.18,0.0,4.18,0.08,0.13,0.05,0.0,0.0,37.718,0.0,0.8,0.0,0.01,0.0,55.56,0.0,8.0,0.0,7.75,0.0,0.0,17.23,23.62,30.4,30.0,0.0,0.0,0.0,4.937920627798476,12226.28,7.513704858214553,0.237,46.72,9.36,0.07,0.38,3.59,0.85,66.79,33.96,0,0,247832640,7148,270956,0,6,26895,5466,0,10,0,12.2,5452.8,2.0,3245.0,32.16,173.26,258.1,0.1582594870344269,0.034423738830023184,in-memory_computing
0.02,0.0,0.1,0.0,0.07,0.08,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,8.0,0.0,9.33,0.0,0.0,0.07,0.18,1.0,1.6,0.0,0.0,0.0,5.316844914836646,152.62,0.09379317629407352,0.479,13.77,2.12,0.1,0.67,1.14,0.55,59.38,0.12,0,0,247860720,7156,270964,0,5,24478,696,0,0,0,16.6,694.4,2.0,3245.0,29.58,170.39,256.71,0.1582594870344269,0.034423738830023184,in-memory_computing
24.1,0.0,0.68,0.05,0.15,0.07,0.0,0.0,36.89833333333333,1.6,0.6,0.01,0.0,0.0,40.0,6.0,5.33,4.38,9.67,0.72,0.01,10.05,10.24,15.2,15.6,0.0,0.0,0.0,5.306100951600991,8328.58,5.118359141785446,0.28600000000000003,24.53,3.0,0.04,0.41,2.92,0.84,60.67,1.43,0,0,246571184,7164,270900,10,3,27965,9482,0,25,13,69.0,9510.2,15.0,3245.0,28.01,167.72,255.39,0.1582594870344269,0.03515615880513005,in-memory_computing
