"cpu.all.%usr","cpu.all.%nice","cpu.all.%sys","cpu.all.%iowait","cpu.all.%irq","cpu.all.%soft","cpu.all.%steal","cpu.all.%guest","cpu.all.%util","cpu.all.%cutil","io.all-max.r/s","io.all-max.w/s","io.all-max.rMB/s","io.all-max.wMB/s","io.all-max.%rrqm","io.all-max.%wrqm","io.all-max.rareq-sz","io.all-max.wareq-sz","io.all-max.r_await","io.all-max.w_await","io.all-max.%util","io.all-max.blk_sat","sar-network.all-max.rxkB/s","sar-network.all-max.txkB/s","sar-network.all-max.rxpck/s","sar-network.all-max.txpck/s","sar-network.all-max.%ifutil","sar-net_err.all-max.err/s","sar-net_err.all-max.net_sat","perf-memBW.MEM_BW_Util","perf-cpu.IPC","perf-cpu.LLC","perf-cpu.MPKI","perf-cpu.ITLB","perf-cpu.DTLB","perf-cpu.StallBackend/Insts","perf-cpu.StallBackend/cycles","vmstat.b","vmstat.swpd","vmstat.bo","vmstat.in","vmstat.cs","vmstat.mem_sat","vmstat.cpu_util","vmstat.cpu_sat","sar-task.proc/s","sar-task.cswch/s","sar-load.runq-sz","sar-load.plist-sz","sar-load.ldavg-1","sar-load.ldavg-5","sysctl.file-util","workload.type","workload.appname"
31.71,0.0,7.79,0.01,1.16,3.97,0.0,0.0,44.629999999999995,59.69056338028171,0.0,250.4,0.0,12.6,0.0,31.21,0.0,51.51,0.0,0.18,3.84,0.0,50946.4,61186.78,351627.2,351623.0,5.01,0.0,0.0,3.2207213659414853,0.49991731629191316,3.3128313509526115,14.098702502593065,0.363754893532224,0.7104150754948121,0.6101106574250439,0.30500488250102276,0,806912,12426,1000785,736330,0,45,0.4166666666666667,66.2,736348.0,43.0,1448.0,20.04,16.87,3.95516952522712e-14,"default","mariadb"
30.62,0.0,8.19,0.0,1.15,4.01,0.0,0.0,43.97,60.76691176470589,0.0,287.8,0.0,14.03,0.0,29.74,0.0,49.93,0.0,0.17,4.64,0.0,50965.9,61245.38,351748.2,351742.0,5.02,0.0,0.0,3.2222795666916726,0.5006868373294375,3.323176953355672,14.134739782025196,0.3645848230845686,0.7096735804599479,0.6053624110314723,0.3030969910174709,0,806912,14372,1001466,736686,0,44,0.5416666666666666,20.2,736576.8,44.0,1448.0,21.4,17.2,3.95516952522712e-14,"default","mariadb"
30.57,0.0,8.02,0.0,1.17,4.0,0.0,0.0,43.760000000000005,59.69400000000001,0.0,290.2,0.0,14.07,0.0,29.84,0.0,49.67,0.0,0.18,4.4,0.0,51060.59,61375.98,352349.4,352344.6,5.03,0.0,0.0,3.190528345686422,0.5007501563732302,3.300501523695871,14.029825090551817,0.3602114777542812,0.7073966329631217,0.6097532200096508,0.30533402026891326,0,806912,14416,999077,736775,0,44,0.4270833333333333,18.4,736636.8,36.0,1451.0,22.89,17.58,3.95516952522712e-14,"default","mariadb"
31.32,0.0,7.8,0.01,1.15,4.0,0.0,0.0,44.269999999999996,60.62188405797102,0.0,275.2,0.0,14.11,0.0,29.51,0.0,52.49,0.0,0.19,4.56,0.0,51113.32,61401.94,352759.6,352758.0,5.03,0.0,0.0,3.1959582343585895,0.5006535605762611,3.2985490671204896,14.021523899625157,0.36022183568973654,0.7087257328290798,0.6107372511219343,0.30576777935075455,0,806912,14448,1001949,737736,0,44,0.3854166666666667,17.4,737665.8,48.0,1452.0,24.26,17.95,3.95516952522712e-14,"default","mariadb"
31.64,0.0,7.77,0.01,1.17,4.0,0.0,0.0,44.58,60.347571428571456,0.4,274.4,0.0,14.13,0.0,28.17,4.0,52.74,0.0,0.19,3.92,0.0,51274.27,61649.06,353852.2,353844.6,5.05,0.0,0.0,3.1915749305326333,0.5013861572701642,3.302534750918664,14.040342249541096,0.3610064889679242,0.7065957351438101,0.6070447901484874,0.30436385462342336,0,806912,14475,1007743,739842,0,45,0.3958333333333333,18.2,739810.0,49.0,1451.0,25.52,18.32,3.95516952522712e-14,"default","mariadb"
31.52,0.0,7.77,0.01,1.17,3.99,0.0,0.0,44.45,60.31514285714286,0.0,255.8,0.0,13.39,0.0,27.86,0.0,53.6,0.0,0.2,3.36,0.0,51182.2,61585.32,353148.6,353145.8,5.05,0.0,0.0,3.2116447159789945,0.5014147041085175,3.2975178810547066,14.021086085472842,0.3610872816428585,0.7083107935994584,0.6074905462168242,0.3046046924800306,0,806912,14501,1006105,738184,0,45,0.3645833333333333,18.0,738062.2,38.0,1451.0,27.08,18.76,3.95516952522712e-14,"default","mariadb"
29.94,0.0,8.34,0.01,1.12,3.98,0.0,0.0,43.379999999999995,63.836229508196716,0.0,223.4,0.0,12.07,0.0,28.85,0.0,55.31,0.0,0.2,3.2,0.0,50248.74,60423.26,346742.2,346741.6,4.95,0.0,0.0,3.246266209752438,0.501781001102351,3.3648496784837043,14.33316253299005,0.3733856608873416,0.7170629408979883,0.591225837831372,0.29666589278460204,0,806912,11749,981757,723732,0,43,0.4166666666666667,17.8,723739.6,38.0,1451.0,28.28,19.15,3.95516952522712e-14,"default","mariadb"
29.89,0.0,8.4,0.0,1.14,4.02,0.0,0.0,43.45,64.56109375,0.0,269.8,0.0,15.34,0.0,26.88,0.0,58.21,0.0,0.21,4.48,0.0,50553.27,60688.42,348877.4,348875.6,4.97,0.0,0.0,3.204336136834209,0.5016978599297724,3.367911950810064,14.33535242823185,0.374664091505051,0.7185287734907518,0.5893223874607166,0.29566178059774567,0,806912,15715,990713,730464,0,44,0.4583333333333333,18.2,730331.4,40.0,1451.0,29.06,19.46,3.95516952522712e-14,"default","mariadb"
30.07,0.0,8.23,0.0,1.12,4.0,0.0,0.0,43.419999999999995,62.90815384615383,0.0,244.8,0.0,14.53,0.0,27.57,0.0,60.77,0.0,0.8,6.24,0.13,50547.29,60831.56,348806.4,348803.2,4.98,0.0,0.0,3.1815380405101275,0.5016608802921789,3.3580997971489515,14.288429273229768,0.3729454298753181,0.7180804069368959,0.593312584882258,0.29764171362046166,0,806912,14879,990372,730173,0,43,0.5,18.2,730120.6,32.0,1451.0,30.01,19.82,3.95516952522712e-14,"default","mariadb"
30.8,0.0,8.08,0.0,1.14,3.99,0.0,0.0,44.010000000000005,65.23809523809524,0.0,251.8,0.0,13.97,0.0,27.35,0.0,56.81,0.0,0.2,4.16,0.0,50778.96,61058.49,350414.4,350413.0,5.0,0.0,0.0,3.1875600516129032,0.5015141878501401,3.351024512676811,14.257132753135416,0.371352810978162,0.7162791771128376,0.5934699372153962,0.2976335935760531,0,806912,14308,997812,733251,0,44,0.4791666666666667,18.2,733179.2,40.0,1451.0,30.89,20.17,3.95516952522712e-14,"default","mariadb"
